,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,buy_profit,sell_profit
1993-11-08,46.09375,46.25,45.96875,46.125,27.575777053833008,367600,SPY,28.725512,27.594476699829105,0.018699645996097303,0.0
1993-11-09,46.4375,46.46875,46.125,46.15625,27.5944766998291,246900,SPY,28.61769,27.799978256225586,0.20550155639648438,0.0
1993-11-15,46.6875,46.6875,46.4375,46.5625,27.83734703063965,243300,SPY,28.60138,27.968135833740234,0.13078880310058594,0.0
1993-11-17,46.8125,46.8125,46.40625,46.53125,27.818653106689453,39600,SPY,28.51996,27.743928909301754,-0.07472419738769887,0.0
1993-12-15,46.59375,46.625,46.46875,46.46875,27.781286239624023,82600,SPY,28.547678,27.874710083007812,0.09342384338378906,0.0
1993-12-21,46.5625,46.5625,46.40625,46.46875,27.971473693847656,205700,SPY,28.575651,28.159587860107422,0.18811416625976562,0.0
1993-12-28,46.96875,47.125,46.9375,47.09375,28.347679138183594,880600,SPY,28.752789,28.310052871704105,-0.037626266479488635,0.0
1994-01-13,47.21875,47.3125,47.15625,47.21875,28.42293930053711,244300,SPY,28.844315,28.53578758239746,0.11284828186035156,0.0
1994-01-18,47.46875,47.53125,47.375,47.46875,28.573421478271484,166400,SPY,29.030855,28.49817657470703,-0.07524490356445312,0.0
1994-01-19,47.40625,47.46875,47.25,47.34375,28.49817657470703,200800,SPY,28.951616,28.57342147827148,0.07524490356444957,0.0
1994-01-21,47.53125,47.53125,47.34375,47.375,28.51698112487793,85600,SPY,29.21304,28.404121398925785,-0.11285972595214488,0.0
1994-02-02,48.125,48.28125,48.09375,48.28125,29.062488555908203,307600,SPY,29.414951,28.930805206298828,-0.131683349609375,0.0
1994-02-03,48.1875,48.1875,47.90625,48.0625,28.930805206298828,466100,SPY,29.482698,28.272432327270508,-0.6583728790283203,0.0
1994-02-07,46.84375,47.3125,46.84375,47.1875,28.40412139892578,516400,SPY,29.09692,28.42293930053711,0.018817901611328125,0.0
1994-02-17,47.65625,47.6875,47.03125,47.15625,28.385318756103516,342400,SPY,28.992378,28.216026306152344,-0.16929244995117188,0.0
1994-02-18,47.1875,47.21875,46.75,46.875,28.216026306152344,313300,SPY,29.093363,28.49817657470703,0.2821502685546875,0.0
1994-02-28,46.9375,47.0625,46.8125,46.8125,28.178382873535156,333000,SPY,29.244257,28.06551742553711,-0.11286544799804688,0.0
1994-03-15,47.0,47.09375,46.84375,46.875,28.216026306152344,748600,SPY,28.922688,28.441732406616214,0.22570610046387074,0.0
1994-03-22,46.84375,47.0625,46.75,46.96875,28.43553924560547,435700,SPY,29.020243,28.416610717773438,-0.01892852783203125,0.0
1994-04-04,43.34375,44.03125,43.34375,43.90625,26.581453323364258,2627300,SPY,28.21641,27.130111694335938,0.5486583709716797,0.0
1994-04-13,44.796875,44.90625,44.25,44.578125,26.988210678100586,364100,SPY,27.791536,26.997669219970707,0.00945854187012074,0.0
1994-04-25,44.84375,45.359375,44.84375,45.328125,27.442277908325195,394600,SPY,27.670195,27.413894653320316,-0.02838325500487926,0.0
1994-04-26,45.265625,45.34375,45.1875,45.28125,27.413894653320312,399000,SPY,27.733194,27.215244293212894,-0.19865036010741832,0.0
1994-04-28,45.1875,45.25,44.8125,44.953125,27.21524429321289,287000,SPY,27.806118,27.300390243530273,0.08514595031738281,0.0
1994-05-10,44.578125,44.84375,44.546875,44.703125,27.063892364501953,583400,SPY,27.869112,26.81793022155762,-0.24596214294433238,0.0
1994-05-12,44.578125,44.625,44.40625,44.515625,26.95038414001465,305200,SPY,27.661726,26.950384140014652,3.552713678800501e-15,0.0
1994-05-23,45.515625,45.53125,45.34375,45.484375,27.53687858581543,262700,SPY,27.828922,27.650394439697262,0.11351585388183238,0.0
